name,calories,protein,fats,carbs,fiber,Ca(mg),Fe,Mg,P,K,Na,Zn,Cu,Mn,I(ug),Se,Mo,Vit D,Vit B6,Vit B12,Vit C
cooked t-bone steak,212,27.3,11.4,0,0,19,3.53,20,211,283,67,4.69,0.078,0.003,0,29.7,0,0,0.753,1.88,0
raw top sirloin steak,140,22,5.71,0.22,0,4,2.22,22.1,193,349,43,3.45,0.07,0.0126,0,0,0,0,0,0,0
raw tenderloin steak,143,21.1,6.46,0.18,0,4,2.53,22,190,345,45,3.22,0.105,0.005,0,0,0,0,0,0,0
cannellini beans,115,7.41,1.17,18.8,6.76,69,1.4,29.3,95,203,164,0.52,0.219,0.369,0,0,0,0,0,0,0
great northern beans,117,7.03,1.27,19.3,6.91,67,1.38,29.3,89,213,223,0.63,0.256,0.463,0,0,0,0,0,0,0
dark red kidney beans,127,7.8,1.26,21,7.01,57,1.44,29.3,104,227,172,0.56,0.273,0.328,0,0,0,0,0,0,0
light red kidney beans,127,7.31,1.3,21.4,7.4,60,1.3,25.5,94,209,158,0.53,0.271,0.345,0,0,0,0,0,0,0
navy beans,119,6.57,1.4,20,6.85,64,1.6,29.6,87,184,190,0.63,0.29,0.377,0,0,0,0,0,0,0
pinto beans,117,6.69,1.27,19.6,7.09,55,1.28,27.5,83,210,202,0.62,0.255,0.317,0,0,0,0,0,0,0
blackeye peas,116,6.92,1.3,19.2,4.34,28,1.08,27.3,83,138,227,0.66,0.285,0.222,0,0,0,0,0,0,0
chickpeas,137,7.02,3.1,20.3,5.92,40,1.04,28.4,86,137,202,0.72,0.267,0.745,0,0,0,0,0,0,0
hummus,243,7.35,17.1,14.9,5.4,41,2.41,71.1,166,289,438,1.38,0.348,1.06,0,16.2,0,0,0.143,0,0
peanuts,588,23.2,43.3,26.5,8,49,1.55,180,380,636,1,2.78,0.46,1.68,0,17.8,0,0,0,0,0
creamy almond butter,645,20.8,53,21.2,9.7,264,4.11,268,507,745,1,3.18,0.975,2.14,0,0.8,0,0,0.084,0,0
raw chicken breast (with skin),127,21.4,4.78,0,0,7,0.35,25.4,204,332,48,0.62,0.004,0.0125,0,0,0,0,0,0,0
raw chicken thigh,144,18.6,7.92,0,0,6,0.6,21.8,178,272,62,1.35,0.042,0.0125,0,0,0,0,0,0,0
raw chicken thigh (with skin),188,17.1,13.4,0,0,6,0.59,18.5,154,246,64,1.2,0.039,0.003,0,0,0,0,0,0,0
